English,Catalan,Croatian,Czech,Dutch,Greek,Lithuanian,Polish,Portuguese,Romanian,Spanish
History,Història,Povijest,Historie,Geschiedenis,Ιστορία,Istorija,Historia,História ,Istorie,Historia
Hope,Esperança,Nada,Naděje,Hoop,Ελπίδα,Viltis,Nadzieja,Esperança,Speranță,Esperanza
Housing,Habitatge,Stanovanje,Bydlení,Huisvesting,Στέγαση,Būstas,Mieszkalnictwo,Habitação,Locuință,Vivienda
Human rights,Drets humans,Ljudska prava,Lidská práva,Mensenrechten,Ανθρώπινα δικαιώματα,Žmogaus teisės  ,Prawa człowieka,Direitos humanos,Drepturile omului,Derechos humanos
Humour,Humor,Humor,Humor,Humor,Χιούμορ,Humoras,Humor,Humor ,Umor,Humor
Ideals,Ideals,Ideali,Ideály,Idealen,Ιδανικά,Idealai,Ideały,Ideais,Idealuri,Ideales
Imperialism,Imperialisme,Imperijalizam,Imperialismus,Imperialisme,Ιμπεριαλισμός,Imperializmas,Imperializm,Imperialismo,Imperialism,Imperialismo
Inequality,Desigualtat,Nejednakost,Nerovnost,Ongelijkheid,Ανισότητα,Nelygybė,Nierówność,Desigualdade,Inegalitate,Desigualdad
Interests,Interessos,Interesi,Zájmy,Interesses,Ενδιαφέροντα,Interesai,Zainteresowania,Interesses,Interese,Intereses
Joy,Alegria,Radost,Radost,Vreugde,Χαρά,Džiaugsmas,Radość,Alegria ,Bucurie,Alegría
Leaders,Líders,Lideri,Lídři,Leiders,Ηγέτες,Lyderiai,Liderzy,Líderes ,Lideri,Líderes
Legislation,Legislació,Zakonodavstvo,Zákonodárství,Wetgeving,Νομοθεσία,Teisė,Prawodawstwo,Legislação,Legislație,Legislación
Leisure,Oci,Slobodno vrijeme,Volný čas,Vrije tijd,Ελεύθερος χρόνος,Laisvalaikis,Czas wolny,Tempos Livres ,Timp liber,Ocio
LGBTQ+,LGBTQ+,LGBTQ+,LGBTQ+,LGBTQ+,ΛΟΑΤΚΙ+,LGBTQ+,LGBTQ+,LGBTQ+,LGBTQ+,LGBTQ+
Media,Mitjans de comunicació,Mediji,Média,Media,Μέσα Μαζικής Ενημέρωσης,Žiniasklaida,Media,Media ,Mass-media,Medios de comunicación
Memories,Records,Sjećanja,Vzpomínky,Herinneringen,Αναμνήσεις,Prisiminimai,Wspomnienia,Recordações ,Amintiri,Recuerdos
Memory,Memòria,Pamćenje,Paměť,Geheugen,Μνήμη,Atmintis,Pamięć,Memória,Memorie,Memoria
Migration,Migració,Migracija,Migrace,Migratie,Μετανάστευση,Migracija,Migracja,Migração,Migrație,Migración
Minorities,Minories,Manjine,Menšiny,Minderheden,Μειονότητες,Mažumos,Mniejszości,Minorias ,Minorități,Minorías
Money,Diners,Novac,Peníze,Geld,Χρήματα,Pinigai,Pieniądze,Dinheiro ,Bani,Dinero
Nationalism,Nacionalisme,Nacionalizam,Nacionalismus,Nationalisme,Εθνικισμός,Nacionalizmas,Nacjonalizm,Nacionalismo,Naționalism,Nacionalismo
Participation,Participació,Sudjelovanje,Participace,Participatie,Συμμετοχή,Dalyvavimas,Uczestnictwo,Envolvimento ,Participare,Participación
Peace,Pau,Mir,Mír,Vrede,Ειρήνη,Taika ,Pokój,Paz,Pace,Paz
Politicisation,Politització,Politizacija,Politizace,Politisering,Πολιτικοποίηση,Poliarizacija,Upolitycznienie,Politicização ,Politizare,Politización
Privacy,Privacitat,Privatnost,Soukromí,Privacy,Ιδιωτικότητα,Privatumas,Prywatność,Privacidade ,Confidențialitate,Privacidad
Propaganda,Propaganda,Propaganda,Propaganda,Propaganda,Προπαγάνδα,Propaganda,Propaganda,Propaganda,Propagandă,Propaganda
Religion,Religió,Religija,Náboženství,Religie,Θρησκεία,Religija,Religia,Religião ,Religie,Religión
Repression,Repressió,Represija,Represe,Repressie,Καταστολή,Represijos,Represje,Repressão,Reprimare,Represión
Oppression,Opressió,Ugnjetavanje,Útlak,Onderdrukking,Καταπίεση,Priespauda ,Ucisk,Opressão ,Oprimare,Opresión
Resistance,Resistència,Otpor,Odpor,Verzet,Αντίσταση,Pasipriešinimas,Opór,Resistência ,Rezistență,Resistencia
Responsibility,Responsabilitat,Odgovornost,Odpovědnost,Verantwoordelijkheid,Υπευθυνότητα,Atsakomybė,Odpowiedzialność,Responsabilidade ,Răspundere,Responsabilidad
Rule of law,Estat de dret,Vladavina prava,Právní stát,Rechtsstaat,Κράτος Δικαίου,Teisės viršenybė,Praworządność,Estado de Direito,Stat de drept,Estado de derecho
Safety,Seguretat,Sigurnost,Bezpečí,Veiligheid,Ασφάλεια,Saugumas,Bezpieczeństwo,Segurança ,Siguranță,Seguridad
Social security,Seguretat social,Socijalna sigurnost,Sociální zabezpečení,Sociale zekerheid,Κοινωνική ασφάλιση,Socialinė apsauga,Bezpieczeństwo socjalne,Segurança Social ,Securitate socială,Seguridad social
Society,Societat,Društvo,Společnost,Samenleving,Κοινωνία,Visuomenė,Społeczeństwo,Sociedade ,Societate,Sociedad
Solidarity,Solidaritat,Solidarnost,Solidarita,Solidariteit,Αλληλεγγύη,Solidarumas,Solidarność,Solidariedade ,Solidaritate,Solidaridad
Soviet Union,Unió Soviètica,Sovjetski Savez,Sovětský svaz,Sovjet-Unie,Σοβιετική Ένωση,Sovietų Sąjunga,Związek Radziecki,União Soviética,Uniunea Sovietică,Unión Soviética
Studies,Estudis,Studije,Studium,Studies,Σπουδές,Studijos ,Studia,Estudos ,Studii,Estudios
System,Sistema,Sustav,Systém,Systeem,Σύστημα,Sistema,System,Sistema ,Sistem,Sistema
Totalitarianism,Totalitarisme,Totalitarizam,Totalitarismus,Totalitarisme,Ολοκληρωτισμός,Totalitarizmas,Totalitaryzm,Totalitarismo,Totalitarism,Totalitarismo
Transition,Transició,Tranzicija,Tranzice,Transitie,Μετάβαση,Perėjimas,Transformacja,Transição ,Tranziție,Transición
Travel,Viatjar,Putovanja,Cestování,Reizen,Ταξίδι,Kelionės,Podróż,Viajar ,Călătorii,Viajar
Values,Valors,Vrijednosti,Hodnoty,Waarden,Αξίες,Vertybės,Wartości,Valores ,Valori,Valores
Violence,Violència,Nasilje,Násilí,Geweld,Βία,Smurtas,Przemoc,Violência,Violență,Violencia
War,Guerra,Rat,Válka,Oorlog,Πόλεμος,Karas,Wojna,Guerra,Război,Guerra
Work,Treball,Posao,Práce,Werk,Εργασία,Darbas ,Praca,Trabalho,Muncă,Trabajo
Youth,Joventut,Mladi,Mládež,Jeugd,Νιότη,Jaunimas ,Młodzi,Jovens,Tineret,Juventud
Travelling Workshop,Taller itinerant,Putujuća radionica / izložba,Putovní workshop,Reizende Werkplaats,Περιοδεύον εργαστήριο,Keliaujančios dirbtuvės,Wędrowna Pracownia,Oficina Itinerante,Atelier itinerant,Talleres itinerantes
