id,TAGS (comma separated)
008e8d27-71c5-4acf-9131-82bdef768ea7,"free browsing, democracy, system, elections, freedom, media, expectations, travelling workshop"
4eaaf123-3e25-48b4-a4d0-bab5ce7daf68,"free browsing, democracy, dictatorship, daily life, economy, food, work, travelling workshop"
881f17c2-7b82-44e5-8839-e7728c06cfd4,"free browsing, youth, education, democracy, participation, interests, system, responsibility, travelling workshop"
3ccfd944-6033-4fcb-87eb-508ae2e5e1d8,"free browsing, democracy, dictatorship, colonialism, transition, leaders, corruption, values, society, responsibility, freedom, choice, travelling workshop"
4b41624e-3329-407b-8463-b1bc29865a34,"free browsing, colonialism, dictatorship, leaders, childhood, system, education"
79a1d352-a378-4c42-bf0e-6abd3ea10c8d,"free browsing, youth, politicisation, participation, interests, leisure, democracy, system, equality, ideals, responsibility"
0babd4ff-9f83-4699-b2d2-7e239c7098ce,"free browsing, leaders, dictatorship, system, choice, education, freedom"
0d89fe3d-3a5b-4465-aa6d-fb05349aecf5,"free browsing, childhood, colonialism, religion, daily life, family, food, education, work"
336e29be-5fa4-43ce-82cb-9e312f67947f,"free browsing, democracy, dictatorship, freedom, family, prison, ideals, feelings, belonging, choice, values, migration, daily life, repression, travelling workshop"
108a0b8e-e126-44da-8d55-a3b25b6a3986,"free browsing, democracy, freedom, youth, rule of law, society, travelling workshop"
0a5a29aa-9181-4ba7-b64c-152cfa5db4e5,"free browsing, migration, democracy, dictatorship, gender, work, freedom, responsibility, courage, minorities,  travelling workshop"
fcbe68e3-de84-474d-9c1e-3d19e727b363,"free browsing, democracy, dictatorship, family, gender, equality, education, values, choice"
2bd3c535-c721-455a-9942-04ecc7e03572,"free browsing, feelings, freedom, dictatorship, belonging, migration"
82c71507-f3c8-4df0-be5c-a36913171db4,"free browsing, childhood, family, daily life, education, society, feelings, joy, peace, safety, solidarity"
0f869188-7fff-4320-8afa-5425670ae4f6,"free browsing, migration, belonging, feelings, system, society, culture, family"
19125b7e-7a69-4957-9c18-dd44a1a3269d,"free browsing, youth, memories, participation, politicisation, values, solidarity, society, ideals, work, feelings, disappointment, media, prison, travelling workshop"
155cc7bf-44b1-487a-8150-294c50408b76,"free browsing, history, leaders, expectations"
b380e234-089c-4b7f-8e94-092b0938a997,"free browsing, feelings, leaders, transition, resistance, fear, democracy, participation, peace, youth, memories, media"
b67bf2a6-8781-41fb-9785-e80fef42f6e8,"free browsing, transition, memories, youth, education, economy, daily life, society, travel, abroad"
c6c5e0eb-33b6-4cf2-904a-d8a0ff5ea1b5,"free browsing, childhood, family, capitalism, communism, daily life, peace, safety, interests, ideals"
e734993b-54a9-4cad-a3a5-fceae7539a22,"free browsing, childhood, family, daily life, peace, safety, leisure, safety, culture, abroad, interests"
742a140c-ea31-40a2-8dee-fcf737cd6361,"free browsing, childhood, dictatorship, communism, solidarity, abroad, family, memories, equality, feelings, diversity, propaganda, education, system"
6b82828c-9399-4d46-b718-ed0eec9cc569,"free browsing, childhood, democracy, gender, communism, freedom, media, propaganda, dictatorship"
7e35ae82-ab0e-446f-a976-a3718279cf6b,"free browsing, democracy, war, abroad, disappointment, responsibility, feelings, values, responsibility, choice"
d94aa373-861b-44a2-acf3-744e134306b5,"free browsing, war, democracy, disappointment, feelings, values, responsibility, choice, travelling workshop"
e971a7f8-4298-4d93-a744-f0975bf01234,"free browsing, elections, corruption, resistance, family, friends, courage, studies, choice, values, feelings, anger"
5ece6bcf-b927-4338-ba33-3bafd371e94e,"free browsing, childhood, family, daily life, peace, safety, leisure, safety, culture, abroad, interests"
55692e17-bead-4fe4-a35c-63f1de98b652,"free browsing, resistance, politicisation, media, friends, memories, leaders, expectations"
abb17aa8-7eb5-4260-b199-215469890ef0,"free browsing, democracy, transition, feelings, hope, joy"
7200eb68-d0b8-405c-828b-453169df3445,"free browsing, democracy, expectations, transition, disappointment, feelings, values, ideals"
24e57762-c1a4-41e5-8893-944e7398ca72,"free browsing, transition, leaders, democracy, feelings, expecatations, disappointment"
a9912bca-82ea-438d-b0f6-8f80d2385ca2,"free browsing, system, leaders, belonging, expectations, accountability, democracy, clientelism"
dca8fe27-d549-4c1b-b656-a3cee26fecd7,"free browsing, democracy, system, education, youth, travelling workshop"
c2dfb461-9bc4-49ad-b4b6-f14927841aed,"free browsing, democracy, system, values"
84493c1a-daf2-4050-b4ab-d9552f8954c5,"free browsing, leaders, politicisation, participation, system"
0c7ea8db-24b1-4d2b-958c-026374e801f5,"free browsing, education, belonging, memories, nationalism, childhood"
5d0699b3-e099-4df4-a88b-bf7ddc659fb8,"free browsing, youth, participation, democracy, system, ideals, solidarity, travelling workshop"
7e5e5813-e28d-451c-89b0-145e377db5c9,"free browsing, expectations, democracy, social security, economy, society, transition, travelling workshop"
604c79ab-b842-4887-89e6-53c9838d1f0d,"free browsing, expectations, democracy, social security, economy, society, transition, travelling workshop"
83f3d72d-0244-4342-885a-0344135f3da7,"free browsing, system, society, choice, values, travelling workshop"
18c14e40-926b-47fc-9f56-032d6c30af43,"free browsing, memories, communism, youth, culture, food"
0e3ad53e-d2da-4b7d-bf20-b4867810246f,"free browsing, childhood, food, social security, dreams, family, daily life"
5655ccaa-3caa-4371-a2e1-865577cb821b,"free browsing, childhood, belonging, diversity, equality"
9dcd7a09-d7d6-49e9-8d51-c93d9674f902,"free browsing, resistance, media, communism, politicisation, society, humour, leaders"
cc79d35d-1cf4-414c-acd8-d954b5831cb0,"free browsing, war, belonging, nationalism, society"
12c9d4a5-af27-417c-998f-9a03d94f3307,"free browsing, democracy, freedom, human rights, history, system, transition, minorities, media, memory, privacy, travelling workshop"
28793be3-3f24-4278-8e4b-9ff40389b804,"free browsing, elections, transition, war, dictatorship, religion, discrimination, media, childhood, minorities, education"
b1f26616-b633-41b0-92f0-252f0f9ef591,"free browsing, transition, freedom, democracy, minorities, dictatorship, war, daily life"
3bab7685-bf63-4d42-81f3-f6361492e201,"free browsing, war, peace, belonging, society, history, memory, memories, feelings, anger, family, violence"
aeaaf042-f80b-48ee-b35a-92dcc7846a82,"free browsing, childhood, minorities, family, daily life, travel, belonging"
b59b2a9c-a4a1-4881-9dee-57f8b714d490,"free browsing, childhood, war, education"
2230bdb3-2d91-4154-b4fb-5f4e6a9e74a1,"free browsing, travelling workshop, system, democracy, society, values, leaders, expectations, disappointment, feelings, propaganda, solidarity, ideals, accountability"
0ad81f48-4279-45f8-9cd9-43ce13c9fd5a,"free browsing, travelling workshop, economy, human rights, freedom, money, leaders, elections, system, daily life, choice, values, democracy"
7e83f437-c509-4c4b-91fb-3ff43ae2d313,"free browsing, democracy, leaders, system, ideals, expectations, society, freedom, media, capitalism, inequality, participation, choice, transition, feelings"
bf471703-1742-471e-9d7f-6494ed881fdd,"free browsing, expectations, democracy, social security, economy, society, transition, capitalism, system, safety, rule of law, corruption, leaders, inequality, equality, economy"
58c9b31e-b346-4b3f-ae37-95cd76435da8,"free browsing, democracy, feelings, society, values"
a1c61c3e-4b35-4315-b5b8-19709b67625d,"free browsing, leaders, humour, system, resistance"
28ccaa03-06f3-4026-be29-8649fc22e42a,"free browsing, transition, work, family, capitalism, memories, economy, system, money, fairness"
39f1a66f-4fe4-46cd-b184-9ea3978ccf2b,"free browsing, transition, capitalism, economy, money, disappointment, work, society, communism, clientelism, corruption, fairness"
52df875b-e2b3-4848-8af0-2f825024d25f,"free browsing, economy, equality, peace, history, memory, totalitarianism, dictatorship, housing, studies, work, social security, solidarity"
ae1c7fd6-e4a8-48c4-94fc-4f6d85f97827,"free browsing, history, memory, memories, choice"
f34a484e-8d49-4290-8a77-509320c7da11,"free browsing, daily life, equality, childhood, family, system, communism"
15065b8e-b621-4db6-964c-43c999c201d3,"free browsing, communism, daily life, abroad, travel, feelings, system, economy, money, Soviet Union"
f30ab383-094b-4606-bb23-233506217ceb,"free browsing, religion, freedom, totalitarianism, system, communism, society, choice, politicisation"
cacf8eb8-664b-48a3-97fc-76b4be9dbd67,"free browsing, nationalism, migration, belonging"
78414d10-2d60-494e-a65d-4327b056b3ee,"free browsing, memory, youth, system, democracy, education, history, choice"
0410364c-28d4-4bee-8fbf-78e9106f7264,"free browsing,feelings,communism,fairness,solidarity,memory,history,equality,social security,housing,memories,capitalism,system,economy,work,anger"
3ce9a987-cff7-4a7a-ad34-ab8f2419f89b,"free browsing,capitalism,system,social security,safety,rule of law,corruption,leaders,inequality,equality,economy,expectations,anger"
9f0be033-7b6e-4d35-87ab-488c1236b5c9,"free browsing,ideals,socialism,capitalism,studies,totalitarianism,freedom,inequality,leaders,feelings,youth,disappointment "
83eb4737-9c17-4377-8fb9-d1d415ae568c,"free browsing,dreams,youth,history,system,choice,capitalism,ideals,daily life,society"
5c307752-0ece-4e68-b8ec-bc9d962e2c3a,"free browsing, transition, system, socialism, democracy, capitalism, history, society, freedom, economy, social security, ideals, inequality, expectations"
b0f195e8-3a7d-4487-a035-4b03eb73e428,"free browsing, system, socialism, democracy, leaders, elections, totalitarianism"
6aec1087-dae7-42cb-a40e-982c2f4462ee,"free browsing, democracy, leaders, system, ideals, expectations, society"
b3ad4a5d-4f2b-4143-8056-a8ddbd4f7c0e,"free browsing, communism, democracy, resistance, society, system, values, ideals, leaders, choice, daily life, participation"
b1c56397-a0ff-494b-adc2-5f9f1c123ee5,"free browsing, democracy, leaders, transition, feelings, joy, society, hope"
5306b23c-03fa-4b64-bb1f-0b35ea00b885,"free browsing, history, education, resistance, transition"
da232bba-38ad-4309-a4c3-fe9ad193ef4e,"free browsing, communism, system, safety, work, choice, leaders, repression, courage, resistance"
c518ddcb-663f-4e0f-b947-1bf5859537e8,"free browsing, society, resistance, communism, system, courage, religion, youth, work, interests"
438c900d-3355-4e14-9c12-21c240e433b5,"free browsing, democracy, leaders, disappointment, society, system"
8627077d-199d-48f0-894c-1619c96b88d0,"free browsing, education, totalitarianism, family, religion, courage, childhood, communism"
08822a9a-b7b5-4a2c-a80e-155beb2f0f43,"free browsing, family, religion, resistance, education"
543cd064-7674-4794-bc86-44c75478f30d,"free browsing, democracy, ideals, elections, society, participation, totalitarianism, system, responsibility, accountability, transition, capitalism, education, communism"
b0e522db-03aa-44f3-b713-3aca47a85deb,"free browsing, democracy, transition, corruption, expectations, society, fear, values, ideals, feelings"
5f5337fb-5d68-473f-99e3-02f8aeab3c03,"free browsing, society, transition, values, culture, fear, feelings, economy, leaders, expectations, hope"
8af45cf3-6280-472e-96c6-e7c2483e1585,"free browsing, war, leaders, solidarity, values, society, democracy"
cda51c9c-7724-45ae-91f1-e65722dff57a,"free browsing, travelling workshop, history, youth, participation, society"
cda44cc6-e0dc-4ec8-971b-e25488254ee2,"free browsing, travelling workshop, democracy, transition, participation, elections, minorities, totalitarianism, responsibility, peace"
ddda5e12-2b5d-44b8-ab10-8f3a3dc263e0,"free browsing, travelling workshop, democracy, participation, education, ideals, capitalism"
0ffbf6ee-713c-4337-aa82-1ed243ea1029,"free browsing, travelling workshop, education, totalitarianism, fear courage, childhood, propaganda"
89d32e70-5dba-4e52-8f17-65f0efc5504d,"free browsing, transition, memory, democracy, feelings, values"
9e393efb-9a47-43ad-a647-74290db61bf1,"free browsing, childhood, leaders, daily life, joy, leisure, memories, communism"
9f866365-e87a-47ff-be73-233135d095c2,"free browsing, travelling workshop, expectations, propaganda, democracy, system, transition, disappointment"
47335cc5-392c-4584-8344-a4b9e53d6be6,"free browsing, violence, feelings, transition, resistance, totalitarianism, system, courage, repression, anger"
691ef8c4-2a36-4028-a560-ba16fb99a920,"free browsing, communism, memory, history, youth, ideals, feelings, daily life"
b0bb69d7-cac1-46dc-a0dd-83b97cecec87,"free browsing, transition, education, freedom, system, fear, totalitarianism, democracy, childhood, studies"
166deda1-6b50-45ae-9fe2-1700347c8f2b,"free browsing, resistance, totalitarianism, transition, system, education, choice, democracy, leaders, childhood, memories, courage"
0ee0c732-9ec4-458c-adf0-6289026c88b1,"free browsing, abroad, memories, media, travel"
e888e644-f6e3-4f07-89b5-9f7858e48f77,"free browsing, abroad, memories, economy, food, travel, education"
b28ea895-4312-4f7d-b1d1-aef9961becfc,"free browsing, transition, society, feelings, participation, belonging,  joy, memories"
e9e0de70-43ba-49b2-89df-40e5c27c12e3,"free browsing, transition, resistance, democracy, totalitarianism, memories"
ae820c25-aaae-4aff-9636-849d20a2639d,"free browsing, memories, education, courage, religion, system, totalitarianism, friends, childhood, resistance"
8f30764c-d040-4b76-bc1b-ba1ce8afe9aa,"free browsing, childhood, education, family, propaganda, system, totalitarianism, daily life"
c4b6393c-72c1-4cf2-83ee-da7b1f893b84,"free browsing, oppression, daily life, system, religion, freedom, privacy, society, safety, totalitarianism, communism"
65abf2c5-3c84-437c-86d8-478d11dba4bb,"free browsing, oppression, system, totalitarianism, communism, daily life, violence, fear, privacy, feelings"
098c22c9-9825-4300-a267-88ece46ad4fe,"free browsing, freedom, society, democracy, feelings, transition"
94f75b8c-e076-4d35-ad3f-baca24e1f696,"free browsing, freedom, society, transition, feelings, oppression"
f88163eb-ad86-4396-9850-9451ea7e8c64,"free browsing, travelling workshop, youth, system, totalitarianism, freedom, democracy, oppression, repression, ideals"
561afe6c-3ceb-4b74-9a0c-26121ecb1157,"free browsing, travelling workshop, history, youth, transition, memory, memories, freedom, totalitarianism"
c14c61bf-221f-4232-a092-d7ee0707c42a,"free browsing, travelling workshop, disappointment, democracy, transition, corruption, expectations, freedom, leaders"
94ee0a52-5164-4430-ba9e-354020d1cf23,"free browsing, democracy, participation, dictatorship, transition, history, politicisation, system, education, childhood, society, travelling workshop"
22ad5e09-9e96-4af8-a42f-d7f9e2096b4c,"free browsing, politicisation, dictatorship, memory, history, transition, democracy"
43626964-1605-4bb5-9e8d-b1cdd44c9f2b,"free browsing, dictatorship, transition, abroad, democracy, history"
c19fa561-2def-4932-a6b3-4a55f7552f6c,"free browsing, youth, expectations, dreams, history"
93e81d6b-4f81-4994-af70-dbdee3d9d3e1,"free browsing, democracy, ideals, society, system, transition, expectations, disappointment"
b274084e-670b-48a7-b455-2d39d5a35f84,"free browsing, transition, dictatorship, media, childhood, family, joy, feelings, memories"
1b788659-2216-412e-94c2-91a06c9dc7df,"free browsing,  memories, childhood, dictatorship, transition, participation, expectations, family, society, army, violence, feelings"
cfdda2f7-edf4-4501-ad23-028f8b96906a,"free browsing, dictatorship, childhood, memories, system, propaganda, education, participation, resistance, family, choice"
6d66f0b6-9d46-439f-b9bc-4e10fb4084a0,"free browsing, history, memory, memories"
fd938957-1ed6-47b8-8e2d-38eb9105a872,"free browsing, childhood, leisure, family, daily life, safety"
133c6424-0774-43b6-9469-4ad6b21976b7,"free browsing, dictatorship, childhood, media, abroad, family, daily life, culture, expectations, values, memories"
2b2cd463-6fb4-46ee-95a3-1e3c1a0b167e,"free browsing, democracy, system, values, education, travelling workshop"
84be57dc-539b-4495-b74d-3acf364e7053,"free browsing, family, gender, childhood, safety"
40a06ac3-7157-4f0e-aec8-4936c9cb6126,"free browsing, democracy, system, history, ideals, travelling workshop"
25b99f77-feb0-483a-80ea-410ea139f9b4,"free browsing, system, responsibility, participation, democracy, society, travelling workshop"
69ded703-7b2e-43a5-9577-e4fc2dac1db7,"free browsing, dictatorship, daily life, education, childhood, propaganda, feelings, fear, system"
d5c5b5e1-a4e7-4e2d-9eb6-47c602767e8e,"free browsing, dictatorship, daily life, education, childhood, propaganda, fear, system, repression"
a203b337-8691-4a78-b864-649484afa5d8,"free browsing, dictatorship, childhood, media, abroad, family, daily life, culture, expectations, values, memories"
09f2348b-57f3-40b1-af75-24bef29bee46,"free browsing, dictatorship, resistance, culture, abroad, youth, politicisation, media"
f9c5480f-4415-4c50-91d7-377281c2fec0,"free browsing, resistance, politicisation, dictatorship, friends, transition, freedom, democracy, courage"
3f2331f6-0ff5-432f-b205-dc035ff33315,"free browsing, society, participation, system, democracy, disappointment, socialism, solidarity, travelling workshop"
e5b7fefb-ee1f-430a-9078-8b77ae67a5f5,"free browsing, youth, society, participation, politicisation, resistance, feelings, anger, leaders, travelling workshop"
6800f16a-48a9-457c-bfc9-22f4e8d6e3fe,"free browsing, transition, history, capitalism, inequality, society, economy, memory, travelling workshop"
b42931d6-c61f-4bbc-9fb9-ca44fade9d8e,"free browsing, democracy, resistance, participation, society, anger, solidarity, travelling workshop"
3174e9aa-590d-4935-a8e6-0bb0d1df03bd,"free browsing, childhood, abroad, resistance, politicisation, dictatorship, family, friends, education, culture, communism, media, memories, leisure, daily life"
ba19c5ec-99a7-41fa-9e0b-c9868ef5074c,"free browsing, history, dictatorship, transition, resistance, feelings, choice, family"
d582df7e-09d9-4293-b53e-904f74760b8e,"free browsing,  resistance, history, democracy, dictatorship, education, youth, totalitarianism, travelling workshop"
2a4d3db3-e88b-4530-b2db-b1a12371cf5f,"free browsing, dictatorship, repression, family, childhood, fear, feelings, memories"
eabe2a39-3729-4aa9-8811-31b7a399f181,"free browsing, dictatorship, repression, family, childhood, feelings, memories, prison"
f4d15906-2cd8-4bb1-b180-9903e1f0f282,"free browsing, memories, youth, dictatorship, transition, participation, expectations, family, society, army, violence, feelings, history"
c01cb986-ed9d-48db-9ed0-e463e3bad450,"free browsing, childhood, politicisation, family, society"
47efd7aa-3496-4b34-b89d-363d72c4c6c3,"free browsing, childhood, politicisation, family, society, resistance, ideals, dictatorship, memories, daily life"
42cf07cb-0a93-4575-a0f8-99c5f36e327f,"free browsing, history, memory, memories, youth, family, travelling workshop"
6b8cf9d0-38da-4980-9f82-bce505ee2af6,"free browsing, education, transition, system, freedom, dictatorship, democracy, fear, childhood, joy, feelings, politicisation, youth"
bb239ed6-c83a-406b-b4fe-d86a08fd6bd8,"free browsing, transition, politicisation, education, freedom, childhood, democracy, youth"
903ce703-3518-41df-8d80-a6a4faa1798e,"free browsing, resistance, history, democracy, dictatorship, education, youth, totalitarianism"
24f84742-f6be-4c98-80a1-b1dfc196af44,"free browsing, childhood, politicisation, family, society, resistance, ideals, dictatorship, memories, daily life"
18c1456c-bcee-4a5e-b82b-f8e81d974e5a,"free browsing, transition, dictatorship, childhood, family, joy, feelings, memories"
abd2f7cc-c9ac-42d8-94fb-69c8cb1c0de4,"free browsing, dictatorship, system, fear, family, childhood, violence, safety, feelings, memories"
0402e3bc-ad4b-414c-9324-525d710e2fb2,"free browsing, dictatorship, system, religion, family, childhood, daily life, repression, resistance, politicisation, memories"
c7c54b45-170c-46b0-873c-ec9b2520b6f8,"free browsing, travelling workshop, democracy, leaders, system, society, freedom, accountability, participation"
36ac013e-7160-424a-a3c8-dd3ba68e1eaf,"free browsing, values, society, economy, system, transition, responsibility, communism, capitalism, democracy"
49bc44f4-979c-4aaa-837e-132f4b97180e,"free browsing, family, childhood, memories, system, equality, values, money, society, ideals, communism, daily life"
80d1159e-5d46-4e8f-923e-568d85f4f0ba,"free browsing, leaders, democracy, politicisation, elections, propaganda, daily life, ideals, transition, childhood, system"
6a16056b-7d7b-4906-b520-430ba7183627,"free browsing, democracy, leaders, freedom, responsibility, accountability, youth, migration, choice, society, education"
3c5f6e02-13f8-4c45-9c52-25ce6ccdb239,"free browsing, system, diversity, communism, responsibilty, accountability, leaders, society, participation"
11a97e4e-3180-4a26-b573-d1096b0d52e4,"free browsing, transition, democracy, youth, joy, hope, expectations, fear, society, family, memories"
5e0c839b-72c1-4609-b5a6-4fb2889a39f8,"free browsing, transition, memories, family, feelings, daily life, fear, participation, resistance"
300f8fc4-4189-4718-a3f9-91efd0fe0c23,"free browsing, communism, dictatorship, religion, family, friends, work, solidarity, childhood, system, choice, freedom, courage, ideals, discrimination, resistance, memories"
b94cae8b-cc1e-4e1b-9c48-905caeb8c14f,"free browsing, history, memory, system, society, family, communism"
964e065e-173b-4c95-8b73-85461ad5b2be,"free browsing, family, childhood, safety, social security, system"
58ef7a3f-561c-4d54-9113-0132d230e62a,"free browsing, travelling workshop, transition, freedom, oppression, participation, democracy"
4c28227d-ac4e-48c6-836b-885f0f4e6090,"free browsing, family, childhood, safety, social security, communism, system, feelings"
5f341e65-a247-4922-bd5a-2eff7262dbf3,"free browsing, family, childhood, safety, education"
10af8302-59a6-42a3-8ad7-2a944ea63d5c,"free browsing, leaders, childhood, memories, fear, feelings, system"
44f9825f-264b-48a9-beb8-547dcee4f2a5,"free browsing, religion, system, communism, childhood, memories, oppression"
3876db0d-7b74-4313-95e2-c67c19bc157d,"free browsing, travelling workshop, responsibility, youth, participation, choice, accountability, totalitarianism"
cb046c2a-0bea-41c3-994c-0a385031405d,"free browsing, abroad, childhood, memories, politicisation, inequality, feelings, solidarity, values, social security, choice, democracy, responsibility, accountability, capitalism, discrimination, anger"
8c499cf9-3cb2-4959-98e4-8600bf8debee,"free browsing, discrimination, equality, religion, solidarity, childhood, communism, education, oppression"
23be7b7b-f356-4abd-b71b-602e546eb999,"free browsing, abroad, propaganda, totalitarianism"
1c29fa2a-27c9-4470-b854-e49d54a2405d,"free browsing, abroad, propaganda, Soviet Union, family, communism"
7ef5dd6f-8062-44a3-b406-7be5ce3c7fad,"free browsing, family, culture, safety, leisure, interests"
95e1c54c-7821-4a0c-ba1b-9017dc620f63,"free browsing, democracy, freedom, responsibility, accountability, youth, memories"
28e76925-4a5c-4904-9a3a-989b80dbd1e6,"free browsing,  totalitarianism, communism, Soviet Union, education, propaganda, freedom, courage, resistance, childhood, memories"
58afe842-1b9e-4996-a6df-30a3cbc72cf7,"free browsing, democracy, hope, transition, disappointment, feelings, freedom, leaders, ideals, interests"
63a3d900-8d5e-45db-9c97-856d8613ef2d,"free browsing, transition, education, studies, system, youth, choice, feelings, work, society, memories, courage"
d9ee6d53-1bb1-4bb8-af47-d2e9bb4bf113,"free browsing, violence, resistance, economy, transition, democracy, memories, capitalism, joy, feelings, memory"
436b0952-cbe1-4d3f-90ba-ce990864c365,"free browsing, childhood, family, memories, daily life, responsibility, work, belonging, minorities"
f49e9d83-f98b-40c7-9d3b-231af8fa6230,"free browsing, communism, Soviet Union, childhood, family, memories, education, hope, propaganda, daily life, peace "
68251f06-3735-4ad6-8a67-799f9518df86,"free browsing, democracy, expectations, leaders, equality, diversity, family, discrimination, values, travelling workshop"
0ab57bf5-3618-40cc-959d-067a19dbb3d2,"free browsing, youth, democracy, ideals, freedom, Lithuania, humour, history, choice, participation, system, travelling workshop"
13468670-13c3-4cf9-945a-b615742a7484,"free browsing, transition, democracy, capitalism, freedom, travel, abroad, education, interests, work, family, money, studies, daily life, leisure, travelling workshop, choice"
ae36002e-f237-41e3-9b61-261e974dedab,"free browsing, totalitarianism, communism, education, propaganda, history, system, childhood, Soviet Union"
0ad1fb9a-8034-461c-a5d6-477afe16a861,"free browsing, travel, abroad, system, totalitarianism, communism, expectations, dreams, democracy, elections, propaganda, leaders, resistance, daily life"
20f7c4b0-c534-4e1b-87d4-e7545a860e25,"free browsing, system, totalitarianism, communism, work, army, choice, Soviet Union"
8fc9beba-ea18-4368-93ee-075eb1863a4b,"free browsing, transition, system, totalitarianism, expectations, work, democracy, capitalism, choice, friends"
6d29295c-fc1b-40c4-bfac-5cd96d3f5037,"free browsing, totalitarianism, communism, system, clientelism, leaders, food, daily life, society"
7f664714-2306-48be-b0aa-b8c53742a272,"free browsing, leaders,communism, feelings, propaganda, politicisation, education, work"
b8555fd4-efd5-46ca-8916-2e7fc536f8a9,"free browsing, transition, army, youth, media, participation, feelings"
6c4ec9db-e374-4f92-b69f-c86eb3d2cffd,"free browsing, transition, minorities, democracy, travel, abroad, Soviet Union, migration, belonging, media, education, history, nationalism, choice, religion, daily life, family, memory"
ec4ae84f-503b-47d3-9c21-e313b6852c49,"free browsing, migration, legislation, minorities, discrimination, memories, society, work, participation, democracy, system, belonging, travelling workshop"
a05a0f60-bc64-4f96-a86f-5b3ae402b536,"free browsing, dictatorship, belonging, religion, resistance, migration, freedom, choice"
8f8d0a6d-d52b-49ef-a583-72024aa37ecb,"free browsing, migration, belonging, memories, legislation, system, feelings, democracy"
13e5010e-fffa-429b-88ab-4764b728c884,"free browsing, migration, friends, belonging, society"
4f8dedd8-f686-468f-be6d-e5e4000c51f3,"free browsing, system, migration, discrimination, minorities, participation"
1099951e-c757-4693-9af9-9b09f21f20d1,"free browsing, dictatorship, religion, totalitarianism, fear, system, resistance, belonging, propaganda, abroad, memories"
fb3b6e40-39c6-4582-b9ed-016b7129b943,"free browsing, memories, democracy, capitalism, migration, discrimination, inequality, minorities, work, daily life, social security, money"
37b96cf1-a5ab-4fcf-91b1-81dd6ed94cf4,"free browsing, migration, minorities, belonging, society, democracy, system, feelings, travelling workshop"
62d57e55-8262-4230-bd6d-7231b9f5c42d,"free browsing, democracy, diversity, freedom, society, ideals, minorities, participation, travelling workshop"
a35f7a99-70ba-4314-8091-be7082e7d747,"free browsing, migration, system, democracy, discrimination, leaders, responsibility, accountability, disappointment, anger"
d7444420-c1ba-4ba5-b3e6-3055aa3c9e25,"free browsing, politicisation, daily life, system, totalitarianism, choice, participation, freedom, resistance"
12c63333-2f66-4b01-a5d8-fa049baf8638,"free browsing, democracy, elections, system, society, minorities, migration"
